Year,Motherboard_Model,CPU,GPU,RAM_GB,Storage_GB,Price_PHP
2024,ASUS TUF Gaming B660M,Intel i5-11400F,RTX 3070,16,512,33913.6
2022,MSI MPG Z690 EDGE,AMD Ryzen 7 5800X,RX 6700 XT,16,2048,45815.84
2021,MSI MAG B550 Tomahawk,Intel i5-11400F,RX 7900 XTX,64,512,85526
2021,MSI MAG B550 Tomahawk,Intel i5-11400F,RTX 3080,16,2048,54387.2
2021,ASRock X570 Phantom,AMD Ryzen 9 5950X,RTX 4090,16,2048,120570.8
2021,MSI MAG B550 Tomahawk,AMD Ryzen 7 5800X,RX 6700 XT,32,512,47116.16
2023,MSI MAG B550 Tomahawk,Intel i7-12700K,RTX 3060,16,2048,45480.4
2023,MSI MAG B550 Tomahawk,AMD Ryzen 5 5600X,RTX 4090,32,2048,117698
2020,ASUS ROG STRIX B550-F,AMD Ryzen 9 5950X,RX 7900 XTX,16,512,74827.76
2023,ASRock X570 Phantom,Intel i9-12900K,RTX 3060,16,512,44826.32
2021,MSI MAG B550 Tomahawk,AMD Ryzen 5 5600X,RTX 3070,32,512,47793.2
2022,ASRock X570 Phantom,Intel i7-12700K,RTX 3060,32,2048,53785.76
2020,Gigabyte B660M DS3H,AMD Ryzen 9 5950X,RX 6700 XT,16,512,42161.28
2021,MSI MAG B550 Tomahawk,AMD Ryzen 5 5600X,RTX 4090,32,512,103085.92
2023,MSI MAG B550 Tomahawk,Intel i7-12700K,RTX 4090,16,1024,114280.32
2022,ASRock X570 Phantom,Intel i9-12900K,RTX 4090,64,2048,147958.16
2024,Gigabyte B660M DS3H,AMD Ryzen 9 5950X,RTX 4090,16,512,132037.36
2022,ASUS ROG STRIX B550-F,Intel i5-11400F,RX 6700 XT,64,2048,67770.64
2020,ASUS ROG STRIX B550-F,Intel i9-12900K,RTX 3060,16,2048,49883.68
2023,ASUS ROG STRIX B550-F,AMD Ryzen 7 5800X,RTX 3070,16,2048,55502.72
2020,ASUS ROG STRIX B550-F,Intel i5-11400F,RX 6700 XT,16,2048,34016.08
2021,ASUS ROG STRIX B550-F,Intel i5-11400F,RX 6700 XT,16,2048,37607.36
2024,ASRock X570 Phantom,AMD Ryzen 7 5800X,RTX 3060,32,2048,61141.36
2024,MSI MAG B550 Tomahawk,AMD Ryzen 7 5800X,RTX 3080,32,512,72003.68
2022,MSI MAG B550 Tomahawk,Intel i9-12900K,RTX 4090,16,2048,123020.24
2022,ASUS TUF Gaming B660M,Intel i9-12900K,RTX 3060,16,1024,43564.08
2024,MSI MPG Z690 EDGE,Intel i5-11400F,RTX 3060,64,512,53023.6
2024,ASUS ROG STRIX B550-F,Intel i7-12700K,RTX 3080,16,512,65922.08
2022,ASUS TUF Gaming B660M,Intel i7-12700K,RTX 4090,64,2048,145428.08
2022,ASUS TUF Gaming B660M,AMD Ryzen 9 5950X,RX 6700 XT,16,2048,60296.88
2024,ASUS TUF Gaming B660M,AMD Ryzen 9 5950X,RTX 3060,16,1024,57436.96
2020,ASRock X570 Phantom,AMD Ryzen 9 5950X,RX 6700 XT,16,1024,50648.64
2022,Gigabyte B660M DS3H,Intel i7-12700K,RX 7900 XTX,32,512,80970.4
2022,MSI MAG B550 Tomahawk,AMD Ryzen 5 5600X,RTX 3080,16,512,50349.04
2023,MSI MAG B550 Tomahawk,Intel i5-11400F,RTX 3060,32,512,39469.92
2022,ASUS ROG STRIX B550-F,AMD Ryzen 9 5950X,RTX 4090,64,2048,152494.16
2023,ASUS TUF Gaming B660M,Intel i5-11400F,RTX 3060,16,2048,39175.36
2021,MSI MPG Z690 EDGE,Intel i5-11400F,RTX 3080,64,2048,70007.84
2021,ASRock X570 Phantom,Intel i7-12700K,RTX 3060,32,1024,47197.36
2020,ASRock X570 Phantom,Intel i7-12700K,RX 7900 XTX,16,2048,74786.88
2020,MSI MAG B550 Tomahawk,AMD Ryzen 7 5800X,RTX 4090,64,2048,127248.24
2021,MSI MAG B550 Tomahawk,Intel i7-12700K,RTX 3070,32,512,52909.92
2021,ASRock X570 Phantom,Intel i9-12900K,RTX 4090,64,2048,136942.4
2021,Gigabyte B660M DS3H,Intel i7-12700K,RX 7900 XTX,16,1024,72432.08
2020,ASUS TUF Gaming B660M,Intel i7-12700K,RTX 3070,32,1024,53610.48
2022,MSI MPG Z690 EDGE,Intel i7-12700K,RTX 3060,64,512,66083.92
2023,ASUS ROG STRIX B550-F,Intel i9-12900K,RTX 3060,32,1024,56839.44
2024,Gigabyte B660M DS3H,AMD Ryzen 9 5950X,RX 6700 XT,32,512,65020.48
2020,ASUS ROG STRIX B550-F,Intel i7-12700K,RX 6700 XT,32,512,43709.68
2020,MSI MAG B550 Tomahawk,AMD Ryzen 5 5600X,RTX 3080,64,1024,73516.8
2023,ASUS TUF Gaming B660M,AMD Ryzen 7 5800X,RTX 3060,32,2048,56467.04
2021,MSI MPG Z690 EDGE,Intel i5-11400F,RX 7900 XTX,32,512,66809.68
2024,ASRock X570 Phantom,AMD Ryzen 9 5950X,RX 7900 XTX,64,2048,133798.56
2021,MSI MAG B550 Tomahawk,AMD Ryzen 5 5600X,RTX 3060,64,1024,54030.48
2024,ASUS ROG STRIX B550-F,AMD Ryzen 9 5950X,RTX 3060,64,1024,86435.44
2024,ASRock X570 Phantom,AMD Ryzen 9 5950X,RTX 4090,32,1024,141161.44
2022,ASUS TUF Gaming B660M,Intel i7-12700K,RTX 3070,32,2048,62870.08
2023,ASUS TUF Gaming B660M,AMD Ryzen 9 5950X,RTX 3070,64,2048,95952.64
2022,ASUS TUF Gaming B660M,AMD Ryzen 7 5800X,RTX 3060,32,1024,43112.16
2021,ASRock X570 Phantom,AMD Ryzen 7 5800X,RX 6700 XT,64,1024,67620.56
2023,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RX 7900 XTX,16,2048,78758.96
2023,ASUS TUF Gaming B660M,Intel i7-12700K,RX 7900 XTX,16,1024,80786.16
2024,ASUS TUF Gaming B660M,AMD Ryzen 9 5950X,RX 6700 XT,32,512,66627.12
2021,ASUS TUF Gaming B660M,Intel i9-12900K,RTX 3070,16,512,48168.96
2020,MSI MAG B550 Tomahawk,Intel i7-12700K,RTX 4090,64,512,119292.88
2023,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RX 6700 XT,16,2048,62657.28
2023,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RTX 3070,16,2048,46959.36
2020,MSI MPG Z690 EDGE,AMD Ryzen 5 5600X,RTX 3070,16,2048,41866.72
2024,MSI MAG B550 Tomahawk,Intel i5-11400F,RX 6700 XT,16,512,34470.24
2023,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RX 7900 XTX,64,2048,110979.12
2024,MSI MPG Z690 EDGE,AMD Ryzen 5 5600X,RX 6700 XT,64,2048,75265.12
2023,ASUS TUF Gaming B660M,AMD Ryzen 5 5600X,RTX 3070,64,1024,71693.44
2023,MSI MAG B550 Tomahawk,Intel i7-12700K,RX 7900 XTX,32,2048,95689.44
2023,MSI MPG Z690 EDGE,Intel i7-12700K,RTX 3080,32,512,64377.6
2022,ASUS ROG STRIX B550-F,Intel i9-12900K,RTX 3080,32,2048,82900.16
2020,ASUS TUF Gaming B660M,Intel i7-12700K,RTX 3070,32,2048,57855.84
2021,ASRock X570 Phantom,Intel i7-12700K,RTX 3060,32,1024,51793.28
2022,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RTX 4090,16,512,98135.52
2023,ASUS ROG STRIX B550-F,AMD Ryzen 7 5800X,RX 7900 XTX,16,2048,87519.04
2023,ASUS ROG STRIX B550-F,Intel i5-11400F,RTX 3080,32,1024,61075.28
2023,MSI MPG Z690 EDGE,AMD Ryzen 9 5950X,RX 7900 XTX,64,2048,122600.8
2021,ASUS TUF Gaming B660M,Intel i7-12700K,RTX 3080,32,1024,68948.88
2020,MSI MPG Z690 EDGE,Intel i9-12900K,RX 7900 XTX,64,1024,102804.8
2021,MSI MAG B550 Tomahawk,Intel i7-12700K,RX 6700 XT,64,512,66337.04
2023,MSI MPG Z690 EDGE,AMD Ryzen 7 5800X,RX 7900 XTX,16,512,75274.08
2023,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RTX 3070,16,1024,47230.4
2023,ASUS TUF Gaming B660M,Intel i7-12700K,RTX 4090,32,1024,120657.04
2023,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RTX 3080,16,1024,56474.88
2020,ASUS ROG STRIX B550-F,AMD Ryzen 7 5800X,RTX 3060,32,512,46290.16
2020,ASUS ROG STRIX B550-F,Intel i5-11400F,RTX 3060,16,512,19535.6
2020,ASUS ROG STRIX B550-F,Intel i7-12700K,RTX 3070,16,1024,43092.56
2020,ASUS TUF Gaming B660M,Intel i7-12700K,RTX 4090,64,1024,123287.92
2022,Gigabyte B660M DS3H,AMD Ryzen 7 5800X,RX 6700 XT,64,2048,74438
2020,Gigabyte B660M DS3H,Intel i9-12900K,RTX 3060,64,512,59115.84
2022,ASUS TUF Gaming B660M,AMD Ryzen 9 5950X,RTX 4090,32,2048,135244.48
2021,MSI MPG Z690 EDGE,AMD Ryzen 7 5800X,RX 7900 XTX,64,512,92426.88
2020,ASRock X570 Phantom,Intel i9-12900K,RX 7900 XTX,64,512,99487.36
2024,MSI MAG B550 Tomahawk,Intel i9-12900K,RX 6700 XT,32,2048,70989.52
2022,ASUS ROG STRIX B550-F,AMD Ryzen 7 5800X,RX 7900 XTX,32,512,87116.4
2023,MSI MPG Z690 EDGE,Intel i5-11400F,RTX 4090,32,2048,116762.8
2023,Gigabyte B660M DS3H,Intel i7-12700K,RTX 4090,16,2048,120359.68
2024,ASUS ROG STRIX B550-F,Intel i9-12900K,RX 6700 XT,64,1024,89031.6
2023,ASUS TUF Gaming B660M,AMD Ryzen 9 5950X,RX 6700 XT,32,1024,63490.56
2021,Gigabyte B660M DS3H,Intel i9-12900K,RTX 4090,16,1024,112782.88
2024,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RTX 4090,32,512,143683.68
2023,ASUS TUF Gaming B660M,Intel i7-12700K,RTX 4090,16,1024,110857.6
2022,ASRock X570 Phantom,Intel i9-12900K,RX 6700 XT,64,1024,78974
2024,MSI MPG Z690 EDGE,AMD Ryzen 7 5800X,RTX 3070,16,512,52251.36
2023,ASUS TUF Gaming B660M,AMD Ryzen 7 5800X,RTX 3070,64,1024,81808.16
2023,ASRock X570 Phantom,Intel i5-11400F,RTX 3060,32,512,31699.92
2023,MSI MAG B550 Tomahawk,Intel i7-12700K,RTX 3080,64,2048,93353.68
2022,Gigabyte B660M DS3H,AMD Ryzen 7 5800X,RX 6700 XT,32,1024,54153.68
2024,ASUS TUF Gaming B660M,Intel i9-12900K,RX 7900 XTX,32,1024,104558.16
2022,Gigabyte B660M DS3H,Intel i7-12700K,RTX 3060,64,512,62647.2
2022,ASUS TUF Gaming B660M,AMD Ryzen 9 5950X,RX 6700 XT,64,512,79361.52
2021,ASUS TUF Gaming B660M,AMD Ryzen 9 5950X,RTX 4090,32,2048,126528.08
2024,ASUS TUF Gaming B660M,AMD Ryzen 7 5800X,RTX 3080,16,512,64297.52
2022,MSI MPG Z690 EDGE,Intel i9-12900K,RTX 3070,32,512,64410.64
2024,MSI MAG B550 Tomahawk,Intel i9-12900K,RTX 3060,16,2048,55803.44
2022,ASUS ROG STRIX B550-F,Intel i7-12700K,RX 7900 XTX,32,512,88001.2
2020,MSI MAG B550 Tomahawk,Intel i9-12900K,RTX 4090,32,1024,115907.68
2022,ASUS ROG STRIX B550-F,Intel i5-11400F,RTX 3080,32,512,52031.84
2020,MSI MPG Z690 EDGE,AMD Ryzen 5 5600X,RTX 3060,64,2048,58038.4
2020,ASUS ROG STRIX B550-F,Intel i7-12700K,RX 6700 XT,32,512,42385.28
2021,MSI MPG Z690 EDGE,AMD Ryzen 7 5800X,RTX 4090,64,2048,136892
2024,MSI MPG Z690 EDGE,AMD Ryzen 7 5800X,RTX 4090,32,1024,134247.68
2022,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RTX 3080,64,2048,81772.88
2020,MSI MPG Z690 EDGE,AMD Ryzen 9 5950X,RTX 3060,16,2048,52452.4
2021,MSI MPG Z690 EDGE,AMD Ryzen 9 5950X,RTX 3060,16,512,45468.08
2021,ASUS TUF Gaming B660M,Intel i5-11400F,RTX 3070,16,1024,38856.72
2023,ASUS TUF Gaming B660M,AMD Ryzen 7 5800X,RTX 4090,32,512,126941.36
2021,MSI MPG Z690 EDGE,AMD Ryzen 9 5950X,RTX 3080,64,1024,92170.4
2020,ASUS TUF Gaming B660M,Intel i7-12700K,RTX 3080,64,2048,81356.24
2021,Gigabyte B660M DS3H,Intel i5-11400F,RX 6700 XT,16,2048,34189.12
2021,Gigabyte B660M DS3H,Intel i7-12700K,RTX 3060,16,512,31601.36
2022,MSI MPG Z690 EDGE,AMD Ryzen 9 5950X,RX 6700 XT,32,1024,63440.16
2020,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RTX 3080,64,1024,89260.64
2022,ASUS TUF Gaming B660M,AMD Ryzen 7 5800X,RTX 4090,32,512,116443.04
2024,ASRock X570 Phantom,AMD Ryzen 5 5600X,RX 7900 XTX,32,2048,94064.88
2022,ASUS ROG STRIX B550-F,Intel i5-11400F,RTX 3070,64,2048,70402.08
2024,ASUS TUF Gaming B660M,AMD Ryzen 9 5950X,RTX 3080,64,512,108935.68
2021,Gigabyte B660M DS3H,AMD Ryzen 7 5800X,RX 7900 XTX,32,1024,80647.28
2021,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RX 7900 XTX,32,512,78515.92
2023,ASRock X570 Phantom,AMD Ryzen 5 5600X,RTX 3080,32,2048,71709.68
2020,MSI MAG B550 Tomahawk,Intel i9-12900K,RTX 4090,64,1024,128045.12
2022,MSI MPG Z690 EDGE,AMD Ryzen 5 5600X,RX 6700 XT,16,1024,32699.52
2020,ASRock X570 Phantom,Intel i9-12900K,RTX 3080,16,1024,63380.8
2024,ASRock X570 Phantom,AMD Ryzen 9 5950X,RX 6700 XT,32,1024,69762
2020,ASUS ROG STRIX B550-F,AMD Ryzen 7 5800X,RTX 3080,64,1024,80389.68
2023,Gigabyte B660M DS3H,Intel i7-12700K,RTX 3080,64,512,89521.6
2022,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RTX 4090,16,512,117657.12
2024,ASRock X570 Phantom,AMD Ryzen 9 5950X,RTX 3070,32,2048,80284.96
2020,MSI MAG B550 Tomahawk,AMD Ryzen 5 5600X,RTX 3060,16,512,20546.4
2023,MSI MPG Z690 EDGE,AMD Ryzen 9 5950X,RTX 3070,32,2048,77354.48
2022,ASUS TUF Gaming B660M,AMD Ryzen 9 5950X,RTX 3080,32,1024,82499.76
2023,MSI MPG Z690 EDGE,AMD Ryzen 5 5600X,RX 6700 XT,16,1024,38137.68
2021,ASUS ROG STRIX B550-F,AMD Ryzen 7 5800X,RX 7900 XTX,16,512,66889.76
2022,MSI MAG B550 Tomahawk,Intel i9-12900K,RX 6700 XT,32,512,58593.36
2022,MSI MAG B550 Tomahawk,Intel i9-12900K,RX 6700 XT,64,2048,85149.68
2023,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RX 6700 XT,32,1024,44286.48
2022,MSI MAG B550 Tomahawk,AMD Ryzen 7 5800X,RTX 4090,32,1024,118905.36
2021,MSI MAG B550 Tomahawk,Intel i7-12700K,RX 6700 XT,32,512,47602.8
2023,MSI MAG B550 Tomahawk,Intel i9-12900K,RX 7900 XTX,32,2048,101344.32
2023,MSI MPG Z690 EDGE,AMD Ryzen 9 5950X,RX 7900 XTX,16,1024,93302.72
2020,MSI MAG B550 Tomahawk,AMD Ryzen 7 5800X,RX 6700 XT,32,512,46684.96
2023,Gigabyte B660M DS3H,AMD Ryzen 7 5800X,RTX 4090,16,2048,124294.24
2021,ASUS TUF Gaming B660M,AMD Ryzen 9 5950X,RTX 3070,16,1024,60358.48
2022,MSI MAG B550 Tomahawk,AMD Ryzen 7 5800X,RX 7900 XTX,32,2048,87339.84
2020,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RX 6700 XT,32,1024,54942.16
2023,ASUS TUF Gaming B660M,Intel i5-11400F,RX 6700 XT,16,512,33146.96
2022,ASUS TUF Gaming B660M,AMD Ryzen 9 5950X,RTX 3060,32,512,56805.84
2020,MSI MPG Z690 EDGE,Intel i7-12700K,RX 7900 XTX,32,512,76302.24
2020,ASRock X570 Phantom,Intel i5-11400F,RTX 3080,32,1024,63398.16
2023,MSI MPG Z690 EDGE,Intel i7-12700K,RX 6700 XT,32,2048,62909.28
2021,Gigabyte B660M DS3H,Intel i7-12700K,RTX 3060,64,1024,64757.84
2024,ASRock X570 Phantom,Intel i7-12700K,RTX 4090,64,512,149968.56
2021,ASRock X570 Phantom,AMD Ryzen 9 5950X,RTX 3080,32,1024,77999.04
2020,ASUS ROG STRIX B550-F,Intel i9-12900K,RX 7900 XTX,64,512,97278.72
2020,ASUS TUF Gaming B660M,Intel i9-12900K,RX 6700 XT,32,2048,62291.04
2023,MSI MPG Z690 EDGE,Intel i9-12900K,RTX 4090,32,512,128113.44
2023,ASUS ROG STRIX B550-F,Intel i5-11400F,RTX 3070,32,2048,54883.36
2022,Gigabyte B660M DS3H,Intel i9-12900K,RX 7900 XTX,32,512,89640.88
2023,ASUS ROG STRIX B550-F,Intel i5-11400F,RX 6700 XT,64,2048,68457.76
2020,ASUS TUF Gaming B660M,AMD Ryzen 9 5950X,RTX 4090,32,512,121002.56
2024,ASUS ROG STRIX B550-F,Intel i7-12700K,RX 7900 XTX,16,2048,85914.08
2022,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RX 7900 XTX,64,512,113204.56
2020,ASUS TUF Gaming B660M,AMD Ryzen 9 5950X,RTX 3060,32,1024,48095.04
2020,ASRock X570 Phantom,Intel i9-12900K,RX 7900 XTX,16,512,73043.04
2022,ASUS ROG STRIX B550-F,AMD Ryzen 9 5950X,RTX 4090,16,512,120910.16
2021,Gigabyte B660M DS3H,Intel i9-12900K,RX 6700 XT,64,1024,74791.36
2021,MSI MAG B550 Tomahawk,AMD Ryzen 5 5600X,RTX 3080,64,1024,71593.2
2020,ASUS ROG STRIX B550-F,Intel i5-11400F,RTX 3070,16,2048,37836.96
2023,Gigabyte B660M DS3H,Intel i9-12900K,RTX 3060,32,512,57242.08
2022,Gigabyte B660M DS3H,Intel i5-11400F,RTX 4090,32,2048,111079.92
2022,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RX 7900 XTX,32,512,75159.84
2021,MSI MPG Z690 EDGE,Intel i5-11400F,RX 6700 XT,64,1024,56492.8
2024,MSI MPG Z690 EDGE,AMD Ryzen 9 5950X,RTX 3060,64,1024,81898.88
2022,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RTX 3060,16,512,33412.4
2020,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RTX 3060,16,512,26563.04
2024,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RTX 4090,32,2048,122447.92
2024,ASRock X570 Phantom,AMD Ryzen 7 5800X,RX 7900 XTX,64,512,111449.52
2023,MSI MPG Z690 EDGE,Intel i5-11400F,RTX 4090,64,1024,129646.16
2022,ASRock X570 Phantom,AMD Ryzen 9 5950X,RTX 3080,16,1024,73717.28
2023,ASUS ROG STRIX B550-F,Intel i9-12900K,RTX 3060,64,1024,74517.52
2024,ASUS ROG STRIX B550-F,Intel i9-12900K,RTX 3060,32,1024,60973.92
2021,MSI MPG Z690 EDGE,AMD Ryzen 5 5600X,RTX 3060,64,512,52503.36
2024,ASUS TUF Gaming B660M,Intel i5-11400F,RTX 3080,16,512,53948.16
2024,MSI MAG B550 Tomahawk,Intel i5-11400F,RX 6700 XT,16,2048,39288.48
2021,Gigabyte B660M DS3H,Intel i9-12900K,RTX 3070,64,512,76218.8
2022,ASUS TUF Gaming B660M,Intel i7-12700K,RX 6700 XT,32,512,48555.36
2020,ASRock X570 Phantom,Intel i5-11400F,RTX 3070,16,1024,32933.6
2021,ASUS ROG STRIX B550-F,Intel i9-12900K,RTX 3060,16,1024,49318.08
2020,ASUS TUF Gaming B660M,AMD Ryzen 9 5950X,RTX 4090,64,512,131519.92
2020,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RTX 3080,64,2048,72499.84
2020,MSI MAG B550 Tomahawk,AMD Ryzen 7 5800X,RTX 3070,64,512,68506.48
2024,ASUS TUF Gaming B660M,AMD Ryzen 5 5600X,RX 7900 XTX,16,512,78681.68
2023,Gigabyte B660M DS3H,AMD Ryzen 5 5600X,RX 7900 XTX,16,1024,75015.92
2023,ASUS TUF Gaming B660M,Intel i5-11400F,RTX 3080,64,512,72413.6
2020,Gigabyte B660M DS3H,Intel i9-12900K,RX 6700 XT,64,2048,74674.32
2024,ASUS TUF Gaming B660M,Intel i9-12900K,RTX 4090,64,2048,169247.68
2022,ASUS ROG STRIX B550-F,AMD Ryzen 7 5800X,RX 6700 XT,32,512,47904.08
2020,ASUS ROG STRIX B550-F,AMD Ryzen 9 5950X,RX 6700 XT,64,512,72136.96
2023,MSI MPG Z690 EDGE,Intel i7-12700K,RTX 4090,32,1024,126750.96
2023,Gigabyte B660M DS3H,AMD Ryzen 9 5950X,RTX 3060,32,1024,58577.12
2022,ASRock X570 Phantom,Intel i9-12900K,RTX 3080,16,2048,74036.48
2023,MSI MPG Z690 EDGE,Intel i5-11400F,RTX 3060,16,1024,19816.16
2020,Gigabyte B660M DS3H,AMD Ryzen 9 5950X,RTX 3080,16,2048,66717.28
2020,MSI MAG B550 Tomahawk,AMD Ryzen 7 5800X,RX 6700 XT,32,2048,52022.32
2020,MSI MAG B550 Tomahawk,Intel i9-12900K,RX 7900 XTX,32,2048,86418.08
2020,ASUS TUF Gaming B660M,AMD Ryzen 7 5800X,RTX 3080,32,512,64557.92
2024,ASUS TUF Gaming B660M,Intel i7-12700K,RTX 3070,64,1024,79718.8
2021,ASUS TUF Gaming B660M,Intel i9-12900K,RX 6700 XT,32,512,54027.68
2022,ASRock X570 Phantom,Intel i7-12700K,RTX 4090,64,2048,141996.96
2024,ASRock X570 Phantom,AMD Ryzen 9 5950X,RX 6700 XT,16,2048,70931.84
2022,ASUS TUF Gaming B660M,Intel i7-12700K,RTX 3080,64,1024,82659.36
2022,MSI MPG Z690 EDGE,Intel i5-11400F,RTX 3070,16,2048,47309.36
2023,Gigabyte B660M DS3H,Intel i7-12700K,RX 7900 XTX,64,512,105518.56
2020,ASUS ROG STRIX B550-F,AMD Ryzen 7 5800X,RTX 3070,32,1024,49862.4
2023,MSI MAG B550 Tomahawk,Intel i7-12700K,RTX 3080,32,2048,79898.56
2022,ASUS TUF Gaming B660M,AMD Ryzen 7 5800X,RTX 3060,16,512,36190
2021,MSI MAG B550 Tomahawk,Intel i5-11400F,RX 7900 XTX,16,1024,60940.32
2023,MSI MPG Z690 EDGE,AMD Ryzen 5 5600X,RTX 4090,64,1024,134576.96
2023,MSI MAG B550 Tomahawk,Intel i7-12700K,RX 6700 XT,16,1024,45106.32
2023,MSI MPG Z690 EDGE,Intel i9-12900K,RX 7900 XTX,64,2048,123308.64
2023,MSI MPG Z690 EDGE,AMD Ryzen 9 5950X,RTX 3080,16,512,73909.92
2023,ASRock X570 Phantom,Intel i5-11400F,RTX 3060,16,1024,33332.32
2021,ASUS TUF Gaming B660M,Intel i9-12900K,RTX 3080,32,512,67433.52
2020,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RTX 4090,16,512,112561.68
2023,Gigabyte B660M DS3H,AMD Ryzen 9 5950X,RTX 3070,64,2048,91585.2
2022,ASUS ROG STRIX B550-F,AMD Ryzen 5 5600X,RX 7900 XTX,16,1024,68164.88
2020,MSI MAG B550 Tomahawk,Intel i5-11400F,RTX 3080,64,1024,70122.08
2024,MSI MAG B550 Tomahawk,AMD Ryzen 9 5950X,RX 7900 XTX,32,1024,107544.08
2020,Gigabyte B660M DS3H,Intel i5-11400F,RTX 3080,16,2048,48011.04
